retardo_ms,timeout_s,repeticiones,n_peticiones_total,lat_p50_ms_conjunto,lat_p95_ms_conjunto,lat_p99_ms_conjunto,lat_p50_ms_media,lat_p50_ms_de,lat_p95_ms_media,lat_p95_ms_de,lat_max_ms_media,lat_max_ms_de,throughput_rps_media,throughput_rps_de,n_201_media,n_201_de,n_503_media,n_503_de,n_otros_media,n_otros_de,health_n_media,health_n_de,health_p95_ms_media,health_p95_ms_de,health_max_ms_media,health_max_ms_de,reservas_huerfanas_media,reservas_huerfanas_de
0,1.0,3,450,350.0,1274.9,1824.0,336.9,68.5,1358.7,290.1,1698.6,301.7,82.3,10.4,149.7,0.6,0.3,0.6,0,0.0,8.3,0.6,70.7,7.5,70.7,7.5,0.3,0.6
0,2.0,3,450,331.4,1287.2,1589.6,325.4,61.1,1269.1,176.8,1627.7,362.2,84.8,19.0,150,0.0,0,0.0,0,0.0,8.3,1.2,65.8,21.4,65.8,21.4,0,0.0
0,30.0,3,450,287.7,1225.5,1709.3,305.2,77.8,1218.5,346.7,1499.7,378.5,96.1,19.3,150,0.0,0,0.0,0,0.0,7.7,1.2,71.8,58.9,71.8,58.9,0,0.0
500,1.0,3,450,1144.8,1682.3,2132.0,1164.0,71.0,1747.2,250.4,1836.0,261.0,34.3,1.0,18,4.6,132,4.6,0,0.0,10.7,1.2,782.0,183.1,874.2,26.7,69,8.2
500,2.0,3,450,2473.0,2663.4,2779.5,2460.9,26.9,2694.1,63.5,2775.9,127.2,19.0,0.1,34.3,0.6,115.7,0.6,0,0.0,20,1.0,465.5,116.8,743.3,176.1,114,2.6
500,30.0,3,450,2514.9,2879.4,3223.1,2518.8,56.3,2866.5,255.8,3162.3,156.5,18.4,0.8,150,0.0,0,0.0,0,0.0,22.7,0.6,446.5,96.8,864.9,51.9,0,0.0
1000,1.0,3,450,1141.0,2064.3,2109.1,1140.2,15.8,2064.7,1.4,2112.4,10.5,34.1,0.4,0,0.0,150,0.0,0,0.0,9.3,0.6,922.0,34.2,922.0,34.2,49.3,1.2
1000,2.0,3,450,2174.7,3566.5,3855.1,2167.4,36.9,3350.6,398.1,3478.8,480.8,17.8,0.3,15.3,7.6,134.7,7.6,0,0.0,15.7,1.5,1262.3,563.9,1919.5,64.0,70.7,5.0
1000,30.0,3,450,4923.5,5793.2,6129.7,4919.3,103.4,5523.5,384.4,6155.2,158.2,9.3,0.5,150,0.0,0,0.0,0,0.0,34.7,6.8,870.0,58.3,1868.8,64.2,0,0.0
2000,1.0,3,450,1201.0,2084.5,2173.4,1199.7,26.0,2089.5,15.3,2174.8,30.4,33.2,0.4,0,0.0,150,0.0,0,0.0,9.3,0.6,1000.6,41.9,1000.6,41.9,30,0.0
2000,2.0,3,450,2165.7,4064.4,4117.0,2166.0,16.1,4065.9,6.0,4126.1,11.2,17.8,0.1,0,0.0,150,0.0,0,0.0,14,0.0,1894.7,9.3,1950.4,7.3,48.3,2.9
2000,30.0,3,450,10005.6,10456.3,12085.8,10029.6,69.2,10475.3,476.2,12245.5,189.9,4.9,0.1,150,0.0,0,0.0,0,0.0,47.7,9.1,1749.6,190.0,3200.6,1102.0,0,0.0
4000,1.0,3,450,1149.0,2063.5,2116.0,1148.1,28.4,2069.8,17.4,2107.8,30.6,34.2,0.7,0,0.0,150,0.0,0,0.0,9.7,1.2,858.8,108.7,858.8,108.7,20,0.0
4000,2.0,3,450,2189.0,4079.7,4152.2,2195.2,69.9,4093.0,33.6,4153.7,36.9,17.6,0.4,0,0.0,150,0.0,0,0.0,14,0.0,1934.1,54.8,1985.9,49.6,28,3.5
4000,30.0,3,450,19965.7,21543.5,24274.3,19977.5,53.8,20941.5,621.3,24329.9,102.1,2.4,0.0,150,0.0,0,0.0,0,0.0,76.3,3.8,3823.2,14.3,7865.7,22.8,0,0.0
