retardo_ms,timeout_s,repeticion,peticiones,concurrencia,duracion_s,throughput_rps,n_201,n_503,n_otros,lat_p50_ms,lat_p95_ms,lat_p99_ms,lat_max_ms,health_n,health_p50_ms,health_p95_ms,health_max_ms,unidades_reservadas_en_reservas,solicitudes_activas,reservas_huerfanas
0,1.0,1,150,50,1.63,91.89,150,0,0,275.6,1211.8,1344.6,1366.3,8,24.4,62.3,62.3,150,150,0
0,2.0,1,150,50,1.41,106.7,150,0,0,255.6,1069.2,1215.1,1224.5,7,31.7,51.4,51.4,150,150,0
0,30.0,1,150,50,1.35,111.09,150,0,0,247.0,951.7,1143.2,1225.5,7,7.3,51.7,51.7,150,150,0
500,1.0,1,150,50,4.26,35.21,13,137,0,1116.5,1571.5,1651.6,1658.5,10,4.4,873.9,873.9,89,13,76
500,2.0,1,150,50,7.84,19.13,34,116,0,2476.3,2623.3,2663.4,2674.3,20,266.3,364.8,866.6,145,34,111
500,30.0,1,150,50,7.98,18.8,150,0,0,2514.9,2732.1,3142.5,3142.5,23,40.5,404.5,839.4,150,150,0
1000,1.0,1,150,50,4.4,34.05,0,150,0,1144.7,2063.6,2108.1,2111.2,9,13.8,935.0,935.0,50,0,50
1000,2.0,1,150,50,8.4,17.85,24,126,0,2181.9,3110.2,3155.4,3157.4,17,6.4,891.8,1887.5,90,24,66
1000,30.0,1,150,50,16.05,9.34,150,0,0,4809.0,5454.4,5823.7,6218.3,37,10.5,875.8,1843.5,150,150,0
2000,1.0,1,150,50,4.57,32.79,0,150,0,1220.7,2084.5,2173.4,2184.8,10,6.8,1007.9,1007.9,30,0,30
2000,2.0,1,150,50,8.43,17.8,0,150,0,2162.0,4059.7,4134.2,4138.6,14,8.8,1884.7,1949.6,50,0,50
2000,30.0,1,150,50,30.62,4.9,150,0,0,9996.4,10292.7,12126.7,12195.3,44,8.4,1853.6,3835.4,150,150,0
4000,1.0,1,150,50,4.49,33.38,0,150,0,1175.1,2076.6,2110.2,2116.0,11,50.2,739.0,739.0,20,0,20
4000,2.0,1,150,50,8.77,17.1,0,150,0,2271.9,4131.3,4190.8,4195.5,14,8.0,1996.4,2042.5,30,0,30
4000,30.0,1,150,50,60.57,2.48,150,0,0,19922.0,20316.3,24259.2,24265.5,72,7.2,3827.7,7840.0,150,150,0
0,1.0,2,150,50,2.1,71.3,150,0,0,410.8,1692.8,1890.5,1955.4,9,39.8,72.9,72.9,150,150,0
0,2.0,2,150,50,2.06,72.8,150,0,0,369.4,1333.1,1789.5,1925.4,9,33.4,55.6,55.6,150,150,0
0,30.0,2,150,50,2.02,74.36,150,0,0,393.5,1610.3,1910.5,1931.5,9,35.5,138.1,138.1,150,150,0
500,1.0,2,150,50,4.51,33.24,19,131,0,1245.6,1636.2,1712.9,1713.8,12,75.5,571.1,847.6,90,19,71
500,2.0,2,150,50,7.94,18.88,35,115,0,2429.9,2745.8,2911.7,2918.6,19,153.9,593.5,821.7,150,35,115
500,30.0,2,150,50,7.97,18.82,150,0,0,2464.6,2705.8,3015.1,3016.7,23,41.4,377.9,830.6,150,150,0
1000,1.0,2,150,50,4.35,34.49,0,150,0,1122.6,2064.3,2098.1,2102.6,9,9.0,883.2,883.2,50,0,50
1000,2.0,2,150,50,8.27,18.13,12,138,0,2125.5,3131.4,3236.9,3247.4,16,19.1,983.8,1877.8,88,12,76
1000,30.0,2,150,50,15.4,9.74,150,0,0,5013.9,5178.4,5194.1,5975.2,27,26.3,925.2,1821.2,150,150,0
2000,1.0,2,150,50,4.5,33.31,0,150,0,1207.9,2106.6,2183.0,2198.9,9,29.0,1038.3,1038.3,30,0,30
2000,2.0,2,150,50,8.38,17.9,0,150,0,2152.3,4066.2,4110.5,4117.0,14,10.2,1896.2,1943.5,50,0,50
2000,30.0,2,150,50,30.28,4.95,150,0,0,9983.3,10117.5,12083.4,12085.8,41,15.3,1864.9,3838.3,150,150,0
4000,1.0,2,150,50,4.31,34.82,0,150,0,1118.4,2050.0,2068.6,2073.9,9,15.9,886.5,886.5,20,0,20
4000,2.0,2,150,50,8.39,17.89,0,150,0,2135.2,4079.7,4122.3,4125.9,14,5.4,1893.4,1950.2,24,0,24
4000,30.0,2,150,50,61.8,2.43,150,0,0,19981.2,20949.3,24445.6,24447.6,79,7.1,3807.2,7883.7,150,150,0
0,1.0,3,150,50,1.79,83.82,149,1,0,324.3,1171.4,1421.2,1774.2,8,24.5,76.9,76.9,150,149,1
0,2.0,3,150,50,2.0,74.9,150,0,0,351.1,1405.0,1523.3,1733.3,9,32.6,90.3,90.3,150,150,0
0,30.0,3,150,50,1.46,102.92,150,0,0,275.0,1093.4,1299.3,1342.0,7,17.7,25.6,25.6,150,150,0
500,1.0,3,150,50,4.35,34.52,22,128,0,1130.0,2033.9,2134.7,2135.6,10,9.5,901.0,901.0,82,22,60
500,2.0,3,150,50,7.84,19.13,34,116,0,2476.6,2713.3,2730.2,2734.8,21,182.5,438.1,541.7,150,34,116
500,30.0,3,150,50,8.57,17.49,150,0,0,2576.9,3161.5,3318.6,3327.8,22,18.0,557.2,924.6,150,150,0
1000,1.0,3,150,50,4.45,33.69,0,150,0,1153.2,2066.3,2115.4,2123.4,10,16.6,947.8,947.8,48,0,48
1000,2.0,3,150,50,8.55,17.54,10,140,0,2194.8,3810.1,3930.5,4031.6,14,5.6,1911.2,1993.1,80,10,70
1000,30.0,3,150,50,17.12,8.76,150,0,0,4935.1,5937.8,6271.0,6272.1,40,24.5,809.0,1941.8,150,150,0
2000,1.0,3,150,50,4.48,33.48,0,150,0,1170.6,2077.3,2133.1,2140.6,9,12.8,955.5,955.5,30,0,30
2000,2.0,3,150,50,8.45,17.76,0,150,0,2183.7,4071.7,4115.6,4122.7,14,6.2,1903.2,1958.1,45,0,45
2000,30.0,3,150,50,31.9,4.7,150,0,0,10109.2,11015.8,12454.0,12455.5,58,24.0,1530.3,1928.1,150,150,0
4000,1.0,3,150,50,4.37,34.29,0,150,0,1150.7,2082.7,2128.9,2133.4,9,21.0,951.0,951.0,20,0,20
4000,2.0,3,150,50,8.45,17.75,0,150,0,2178.5,4068.1,4119.8,4139.7,14,4.6,1912.4,1965.0,30,0,30
4000,30.0,3,150,50,62.58,2.4,150,0,0,20029.4,21558.9,24274.3,24276.5,78,14.8,3834.8,7873.4,150,150,0
